time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (Today) (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption (Week) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1 (℃)","Catalyst temperature Bank 2 Sensor 1 (℃)","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Ethanol fuel percent (%)","Evap. system vapor pressure (Pa)","Free space in fuel tank (L)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (L)","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price ($)","Fuel used price (Today) ($)","Fuel used price (total) ($)","Fuel used price (Week) ($)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Long term fuel % trim - Bank 1 (%)","Long term fuel % trim - Bank 2 (%)","MAF air flow rate (g/sec)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Oxygen sensor 2 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 2 Voltage (V)","Oxygen sensor 5 Wide Range Current (mA) (mA)","Oxygen sensor 5 Wide Range Equivalence ratio ()","Power from MAF (hp)","Relative throttle position (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
03:46:50.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:50.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:50.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:50.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
03:46:50.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,
03:46:50.918,,,,,,,,,,,,,,,,1.912999011584473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.484030719630758,,,,5.63,,,,,,,6.755999999999999,,,,,,
03:46:51.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.117647058823529,,,,
03:46:51.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,
03:46:51.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8200000000000001,,,,,,,,,
03:46:51.587,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:51.677,,,,,,,,,,,,,,,,,,,63.529411764705884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:51.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.274509803921568,,47.450980392156865,23.725490196078432,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:51.770,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:51.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,
03:46:51.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,
03:46:51.979,,,,,,,,,,,,,,,,1.9299883456127542,,,,,,,,,,,,,,,,,,,,0.0005667728688861004,0.016927,0.016927,0.016927,0.0005724405975749614,0.01709627,0.01709627,0.01709627,,7.550496356572418,,,,5.68,,,,,,,6.816,,,,,,
03:46:52.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.117647058823529,,,,
03:46:52.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,
03:46:52.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8200000000000001,,,,,,,,,
03:46:52.606,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:52.696,,,,,,,,,,,,,,,,,,,63.92156862745098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:52.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.274509803921568,,47.450980392156865,23.725490196078432,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:52.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:52.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,
03:46:52.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,
03:46:52.910,,,,,,,,,,,,,,,,1.9401819460297232,,,,,,,,,,,,,,,,,,,,0.0010686345590470861,0.017429,0.017429,0.017429,0.001079320904637557,0.01760329,0.01760329,0.01760329,,7.5903757387374124,,,,5.71,,,,,,,6.851999999999999,,,,,,
03:46:52.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.117647058823529,,,,
03:46:52.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,
03:46:53.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8150000000000001,,,,,,,,,
03:46:53.182,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:53.210,,,,,,,,,,,,,,,,,,,63.92156862745098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:53.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.274509803921568,,47.450980392156865,23.725490196078432,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:53.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:46:53.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
03:46:53.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,
